time,isomer_view,confusor_view,table_view,UI_view,total_frame,isomer_grab,confusor_grab,success_count,failure_count,x,y,z,alpha,beta,gamma
1769.434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1769.465,0,0,0,1,1,0,0,0,0,5.055252,14.54794,37.00354,358.6914,177.4642,9.414928
1769.478,0,0,0,2,2,0,0,0,0,5.054552,14.54907,37.00582,358.4583,177.4438,9.394489
1769.484,0,0,0,3,3,0,0,0,0,5.053817,14.55024,37.00825,358.2482,177.4124,9.36604
1769.5,0,0,0,4,4,0,0,0,0,5.052985,14.55131,37.0108,358.0465,177.3751,9.355997
1769.513,0,0,0,5,5,0,0,0,0,5.052042,14.55241,37.01355,357.8849,177.3409,9.321384
1769.528,0,0,0,6,6,0,0,0,0,5.051074,14.55356,37.01645,357.727,177.3121,9.258837
1769.542,0,0,0,7,7,0,0,0,0,5.050106,14.55468,37.01937,357.5361,177.289,9.193703
1769.556,0,0,0,8,8,0,0,0,0,5.049156,14.55584,37.02238,357.3625,177.2861,9.131083
1769.57,0,0,0,9,9,0,0,0,0,5.048089,14.55692,37.02546,357.1774,177.268,9.060216
1769.584,0,0,0,10,10,0,0,0,0,5.046982,14.55806,37.02874,357.0265,177.2462,8.969129
1769.599,0,0,0,11,11,0,0,0,0,5.045785,14.55904,37.03205,356.8627,177.2355,8.8857
1769.612,0,0,0,12,12,0,0,0,0,5.044631,14.56001,37.0355,356.735,177.2471,8.752884
1769.627,0,0,0,13,13,0,0,0,0,5.043461,14.56099,37.03907,356.6361,177.2453,8.618617
1769.641,0,0,0,14,14,0,0,0,0,5.042282,14.56203,37.04281,356.5352,177.24,8.501938
1769.655,0,0,0,15,15,0,0,0,0,5.041082,14.56321,37.0466,356.3773,177.2053,8.387313
1769.668,0,0,0,16,16,0,0,0,0,5.039901,14.56428,37.05037,356.1061,177.1593,8.24316
1769.683,0,0,0,17,17,0,0,0,0,5.038642,14.56535,37.0543,355.8394,177.101,8.07134
1769.697,0,0,0,18,18,0,0,0,0,5.037329,14.56643,37.0584,355.567,177.053,7.873845
1769.71,0,0,0,19,19,0,0,0,0,5.036033,14.56745,37.0626,355.3044,177.0334,7.672421
1769.725,0,0,0,20,20,0,0,0,0,5.034725,14.56843,37.06692,355.0694,177.0311,7.443563
1769.739,0,0,0,21,21,0,0,0,0,5.033439,14.5693,37.07132,354.8583,177.0305,7.215107
1769.752,0,0,0,22,22,0,0,0,0,5.032161,14.57008,37.07579,354.6779,177.0304,6.982377
1769.767,0,0,0,23,23,0,0,0,0,5.030918,14.57092,37.08036,354.5079,177.0425,6.774832
1769.782,0,0,0,24,24,0,0,0,0,5.029677,14.57168,37.08498,354.3269,177.0445,6.567383
1769.795,0,0,0,25,25,0,0,0,0,5.028472,14.57239,37.08961,354.1387,177.0531,6.348892
1769.808,0,0,0,26,26,0,0,0,0,5.027256,14.57298,37.09424,353.988,177.0751,6.141282
1769.823,0,0,0,27,27,0,0,0,0,5.026088,14.57351,37.09892,353.871,177.1266,5.925769
1769.836,0,0,0,28,28,0,0,0,0,5.024906,14.57404,37.10363,353.7844,177.1711,5.71207
1769.85,0,0,0,29,29,0,0,0,0,5.023819,14.57452,37.10828,353.6994,177.2393,5.49436
1769.865,0,0,0,30,30,0,0,0,0,5.02279,14.57503,37.11289,353.5672,177.3014,5.280763
1769.879,0,0,0,31,31,0,0,0,0,5.021775,14.57551,37.11746,353.3945,177.3592,5.05256
1769.892,0,0,0,32,32,0,0,0,0,5.020802,14.57602,37.122,353.2295,177.4197,4.822107
1769.907,0,0,0,33,33,0,0,0,0,5.019893,14.57655,37.12658,353.0693,177.5132,4.579417
1769.921,0,0,0,34,34,0,0,0,0,5.018991,14.57708,37.13116,352.8948,177.6036,4.33902
1769.934,0,0,0,35,35,0,0,0,0,5.018157,14.57751,37.13562,352.6913,177.706,4.077499
1769.948,0,0,0,36,36,0,0,0,0,5.017351,14.57801,37.14008,352.5493,177.8098,3.835382
1769.962,0,0,0,37,37,0,0,0,0,5.016604,14.57847,37.14442,352.392,177.899,3.624026
1769.976,0,0,0,38,38,0,0,0,0,5.015865,14.57901,37.14883,352.2378,177.9777,3.449143
1769.99,0,0,0,39,39,0,0,0,0,5.015142,14.5796,37.15316,352.067,178.0461,3.294269
1770.004,0,0,0,40,40,0,0,0,0,5.014538,14.5802,37.15743,351.8904,178.1033,3.142064
1770.018,0,0,0,41,41,0,0,0,0,5.013921,14.58072,37.16168,351.714,178.1514,2.997935
1770.031,0,0,0,42,42,0,0,0,0,5.013326,14.58115,37.16594,351.5429,178.2126,2.860184
1770.046,0,0,0,43,43,0,0,0,0,5.012722,14.58151,37.17024,351.4209,178.276,2.755444
1770.06,0,0,0,44,44,0,0,0,0,5.012142,14.58183,37.17452,351.3064,178.3317,2.659715
1770.073,0,0,0,45,45,0,0,0,0,5.011574,14.58213,37.17873,351.2218,178.3749,2.585612
1770.088,0,0,0,46,46,0,0,0,0,5.011034,14.58251,37.18294,351.1115,178.4048,2.501946
1770.101,0,0,0,47,47,0,0,0,0,5.010565,14.58284,37.18714,350.9902,178.4342,2.41388
1770.115,0,0,0,48,48,0,0,0,0,5.010005,14.5831,37.19141,350.8485,178.455,2.323623
1770.129,0,0,0,49,49,0,0,0,0,5.009467,14.58333,37.1957,350.738,178.4807,2.225141
1770.143,0,0,0,50,50,0,0,0,0,5.008857,14.5834,37.19992,350.6197,178.4988,2.154617
1770.16,0,0,0,51,51,0,0,0,0,5.008223,14.58347,37.20414,350.5178,178.5028,2.104409
1770.171,0,0,0,52,52,0,0,0,0,5.007603,14.58354,37.20836,350.4374,178.4852,2.08495
1770.186,0,0,0,53,53,0,0,0,0,5.006999,14.58365,37.21258,350.3702,178.4858,2.057986
1770.199,0,0,0,54,54,0,0,0,0,5.006389,14.58384,37.21679,350.3051,178.4884,1.972023
1770.212,0,0,0,55,55,0,0,0,0,5.005763,14.58409,37.22083,350.201,178.5364,1.848727
1770.226,0,0,0,56,56,0,0,0,0,5.005157,14.58423,37.2248,350.0925,178.5924,1.724911
1770.241,0,0,0,57,57,0,0,0,0,5.004542,14.58445,37.22877,350.0256,178.6621,1.61862
1770.254,0,0,0,58,58,0,0,0,0,5.003927,14.58467,37.23262,349.9053,178.7308,1.484086
1770.268,0,0,0,59,59,0,0,0,0,5.003387,14.58495,37.23635,349.7614,178.8173,1.321696
1770.282,0,0,0,60,60,0,0,0,0,5.002816,14.5852,37.23996,349.5646,178.8982,1.16272
1770.296,0,0,0,61,61,0,0,0,0,5.002352,14.58547,37.24349,349.3598,178.9994,0.9731313
1770.31,0,0,0,62,62,0,0,0,0,5.00192,14.58572,37.24701,349.1497,179.0865,0.794614
1770.324,0,0,0,63,63,0,0,0,0,5.001461,14.58596,37.25048,348.9602,179.1709,0.6353976
1770.338,0,0,0,64,64,0,0,0,0,5.001066,14.58618,37.25381,348.765,179.2592,0.5130525
1770.351,0,0,0,65,65,0,0,0,0,5.000687,14.58624,37.25702,348.5177,179.3407,0.415472
1770.366,0,0,0,66,66,0,0,0,0,5.000362,14.58623,37.26011,348.244,179.4294,0.3038091
1770.38,0,0,0,67,67,0,0,0,0,5.000134,14.58637,37.26323,347.9746,179.513,0.1730779
1770.393,0,0,0,68,68,0,0,0,0,4.999977,14.58651,37.26623,347.6577,179.595,0.0457314
1770.408,0,0,0,69,69,0,0,0,0,4.999782,14.58673,37.26918,347.2993,179.6564,359.9601
1770.422,0,0,0,70,70,0,0,0,0,4.999577,14.58695,37.27207,346.9027,179.697,359.9003
1770.435,0,0,0,71,71,0,0,0,0,4.999459,14.58725,37.27491,346.496,179.7615,359.8317
1770.449,0,0,0,72,72,0,0,0,0,4.99929,14.58747,37.27766,346.0619,179.8479,359.7708
1770.463,0,0,0,73,73,0,0,0,0,4.999102,14.58774,37.28037,345.6453,180.0074,359.7014
1770.477,0,0,0,74,74,0,0,0,0,4.998796,14.58805,37.28299,345.2087,180.2749,359.6416
1770.491,0,0,0,75,75,0,0,0,0,4.998496,14.58832,37.2855,344.7343,180.6354,359.6097
1770.505,0,0,0,76,76,0,0,0,0,4.99825,14.58866,37.28788,344.2479,181.0506,359.6024
1770.519,0,0,0,77,77,0,0,0,0,4.997997,14.58893,37.29023,343.7704,181.4138,359.6273
